sd_id,school_district,county,mask_required, Rate,Notes
2100030,Adair County School District,Adair County,unknown,36.5,
2100070,Allen County School District,Allen County,In some circumstances,22.8,yes; when orange or red
2100090,Anchorage Independent School District,Jefferson County,yes,29.3,
2102990,Jefferson County School District,Jefferson County,yes,29.3,
2100120,Anderson County School District,Anderson County,no,37.1,
2100150,Ashland Independent School District,Boyd County,no,34.9,
2100620,Boyd County School District,Boyd County,no,34.9,
2101800,Fairview Independent School District,Boyd County,unknown,34.9,
2100180,Augusta Independent School District,Bracken County,no,37.9,
2100660,Bracken County School District,Bracken County,no,37.9,
2100210,Ballard County School District,Ballard County,no,21.7,
2100240,Barbourville Independent School District,Knox County,no,70.2,
2101320,Corbin Independent School District,Knox County,no,70.2,
2103150,Knox County School District,Knox County,no,70.2,
2100270,Bardstown Independent School District,Nelson County,no,48.2,
2104410,Nelson County School District,Nelson County,unknown,48.2,
2100300,Barren County School District,Barren County,no,52.9,
2101110,Caverna Independent School District,Barren County,no,52.9,
2102220,Glasgow Independent School District,Barren County,no,52.9,
2100330,Bath County School District,Bath County,unknown,11.4,
2100360,Beechwood Independent School District,Kenton County,unknown,17.7,
2101350,Covington Independent School District,Kenton County,yes,17.7,
2101740,Erlanger-Elsmere Independent School District,Kenton County,unknown,17.7,
2103090,Kenton County School District,Kenton County,no,17.7,
2103630,Ludlow Independent School District,Kenton County,yes,17.7,
2100390,Bell County School District,Bell County,no,42.3,
2104170,Middlesboro Independent School District,Bell County,no,42.3,
2104860,Pineville Independent School District,Bell County,no,42.3,
2100420,Bellevue Independent School District,Campbell County,yes,15.4,
2100900,Campbell County School District,Campbell County,yes,15.4,
2101530,Dayton Independent School District,Campbell County,yes,15.4,
2102040,Fort Thomas Independent School District,Campbell County,unknown,15.4,
2104440,Newport Independent School District,Campbell County,yes,15.4,
2105460,Southgate Independent School District,Campbell County,yes,15.4,
2100480,Berea Independent School District,Madison County,yes,32.3,
2103720,Madison County School District,Madison County,no,32.3,
2100510,Boone County School District,Boone County,no,25.9,
2105700,Walton-Verona Independent School District,Boone County,unknown,25.9,
2100540,Bourbon County School District,Bourbon County,In some circumstances,32.5,when moving
2104710,Paris Independent School District,Bourbon County,yes,32.5,
2100570,Bowling Green Independent School District,Warren County,no,39.7,
2105730,Warren County School District,Warren County,no,39.7,
2100630,Boyle County School District,Boyle County,yes,49.4,
2101440,Danville Independent School District,Boyle County,no,49.4,
2100690,Breathitt County School District,Breathitt County,no,30.5,req for unvaxxed staff
2102910,Jackson Independent School District,Breathitt County,no,30.5,
2100720,Breckinridge County School District,Breckinridge County,no,34.9,no; unless health local conditions warrant change
2101290,Cloverport Independent School District,Breckinridge County,yes,34.9,
2100750,Bullitt County School District,Bullitt County,unknown,33.4,
2100780,Burgin Independent School District,Mercer County,no,46.2,
2104110,Mercer County School District,Mercer County,no,46.2,
2100810,Butler County School District,Butler County,no,23.3,
2100840,Caldwell County School District,Caldwell County,no,31.4,
2101500,Dawson Springs Independent School District,Caldwell County,yes,31.4,
2100870,Calloway County School District,Calloway County,no,46.2,
2104380,Murray Independent School District,Calloway County,In some circumstances,46.2,yes; in level 2
2100930,Campbellsville Independent School District,Taylor County,no,36.6,
2105520,Taylor County School District,Taylor County,no,36.6,
2100960,Carlisle County School District,Carlisle County,no,30.0,
2100990,Carroll County School District,Carroll County,no,33.6,
